Timestamp,"How often do you buy tops (blouses, shirts, tees, etc.) online or via social media?",Which platforms do you currently use to find and buy tops? (select all that apply),How much time do you typically spend searching across platforms before buying a top?,Have you ever been scammed or received a top that looked completely different from what was advertised?,"How difficult is it to find a specific style, colour, or size of top across your usual platforms?",What frustrates you most when shopping for tops online? (select up to 2),Have you ever abandoned a purchase because you couldn't verify the vendor's authenticity or compare prices easily?,"Imagine a single platform where verified vendors list their tops with real photos, sizes, and prices — and you can search, filter, and compare across all of them before buying. How useful would that be to you?",Which features would make you trust and use such a marketplace? (select all that apply),"How likely would you be to switch from your current shopping method to a trusted, dedicated tops marketplace?",What is your typical budget per top when shopping online?,"Would you continue using such a marketplace if it consistently showed you verified vendors, accurate listings, and competitive prices?","Would you recommend it to other ladies if it solved the problems you've experienced?
",What could make you stop using such a platform over time? (select all that apply),"Any other thoughts? What would make this marketplace a must-have for you?
Optional — but your honest feedback is the most valuable part.",Which of these best describe you?,Do you purchase female top/blouses online,"If only in person, what is the reason?",Which best describes you?
02/04/2026 16:23:11,Rarely / only in person,Instagram,Over an hour,"Yes, once",4,"Hard to verify if a vendor is trustworthy, Payment feels risky","Yes, often",4,Secure in-app payment,4,50 GHC - 150,Definitely yes,"Yes, without hesitation",Prices become higher than other platforms,"Fast delivery, good return policy",,,,
03/04/2026 17:22:18,Once a month,"Instagram, Snapchat, WhatsApp vendors, Physical market / boutique",15 - 30 minutes,"Yes, more than once",3,"Inaccurate photos / misleading listings, No easy way to compare prices, Hard to verify if a vendor is trustworthy, Slow or unresponsive vendors","Yes, often",4,"Verified vendor badges, Buyer reviews and ratings, Filter by style, colour and size, Side-by-side price comparison, Secure in-app payment, Delivery tracking",5,50 GHC - 150,Definitely yes,"Yes, without hesitation","Prices become higher than other platforms, Limited variety of styles or vendors, App is slow or hard to use",,,,,
03/04/2026 17:28:43,Once a month,"Instagram, Facebook/ Facebook Marketplace, Physical market / boutique",Over an hour,"No, but I've been close or suspected it",3,"No easy way to compare prices, Sizes are inconsistent or unlisted","Yes, sometimes",5,"Verified vendor badges, Buyer reviews and ratings, Side-by-side price comparison, Secure in-app payment, Delivery tracking",5,50 GHC - 150,Definitely yes,"Yes, without hesitation","Vendors become unverified or unreliable, Prices become higher than other platforms, Limited variety of styles or vendors, Poor customer support, App is slow or hard to use",If it has everything I need at one place.,,,,
03/04/2026 18:29:27,Rarely / only in person,Tiktok,Under 15 minutes,"No, but I've been close or suspected it",2,Hard to verify if a vendor is trustworthy,"Yes, often",5,"Verified vendor badges, Buyer reviews and ratings, Secure in-app payment",5,Under 50 GHC,Definitely yes,"Yes, without hesitation",Vendors become unverified or unreliable,,,,,
04/04/2026 08:32:27,A few times a month,"Tiktok, Snapchat",30 minutes - 1 hour,Never experienced this,3,"Inaccurate photos / misleading listings, No easy way to compare prices, Hard to verify if a vendor is trustworthy, Sizes are inconsistent or unlisted, Slow or unresponsive vendors, Payment feels risky","Yes, sometimes",3,"Verified vendor badges, Buyer reviews and ratings, Filter by style, colour and size, Side-by-side price comparison, Secure in-app payment, Delivery tracking",3,Under 50 GHC,Definitely yes,"Yes, without hesitation","Vendors become unverified or unreliable, Prices become higher than other platforms, Limited variety of styles or vendors, Poor customer support, App is slow or hard to use",,,,,
04/04/2026 09:44:59,A few times a month,"Snapchat, Physical market / boutique",30 minutes - 1 hour,"No, but I've been close or suspected it",4,"Inaccurate photos / misleading listings, Sizes are inconsistent or unlisted, Payment feels risky","Yes, sometimes",4,"Verified vendor badges, Buyer reviews and ratings, Filter by style, colour and size, Side-by-side price comparison, Secure in-app payment, Delivery tracking",4,Under 50 GHC,Probably yes,"Yes, without hesitation","Vendors become unverified or unreliable, Prices become higher than other platforms, Limited variety of styles or vendors, Poor customer support, App is slow or hard to use",,,,,
04/04/2026 14:00:23,Once a month,"Instagram, Tiktok, Snapchat",Over an hour,"Yes, more than once",3,"Hard to verify if a vendor is trustworthy, Payment feels risky","Yes, sometimes",3,"Side-by-side price comparison, Secure in-app payment, Delivery tracking",4,50 GHC - 150,Probably yes,"Maybe, after using it for a while","Prices become higher than other platforms, Limited variety of styles or vendors",,,,,
04/04/2026 17:54:43,Rarely / only in person,Physical market / boutique,Over an hour,Never experienced this,4,"Slow or unresponsive vendors, Payment feels risky",No,5,"Verified vendor badges, Buyer reviews and ratings, Filter by style, colour and size, Side-by-side price comparison, Secure in-app payment, Delivery tracking",4,Under 50 GHC,Definitely yes,"Probably, if it works well","Vendors become unverified or unreliable, Prices become higher than other platforms, Poor customer support, App is slow or hard to use",,,,,
04/04/2026 20:57:17,Rarely / only in person,Physical market / boutique,15 - 30 minutes,Never experienced this,4,"Inaccurate photos / misleading listings, No easy way to compare prices, Hard to verify if a vendor is trustworthy, Sizes are inconsistent or unlisted, Slow or unresponsive vendors, Payment feels risky",No,3,"Verified vendor badges, Buyer reviews and ratings, Filter by style, colour and size, Side-by-side price comparison, Secure in-app payment, Delivery tracking",4,Under 50 GHC,Definitely yes,"Yes, without hesitation","Vendors become unverified or unreliable, Prices become higher than other platforms, Limited variety of styles or vendors, Poor customer support, App is slow or hard to use","When it’s accessible regardless of the location of the customer. This, nationwide delivery with very affordable prices ",,,,
05/04/2026 21:12:34,Rarely / only in person,Snapchat,Over an hour,Never experienced this,3,Hard to verify if a vendor is trustworthy,No,1,"Verified vendor badges, Buyer reviews and ratings, Filter by style, colour and size, Side-by-side price comparison, Secure in-app payment, Delivery tracking",1,Under 50 GHC,Definitely yes,"Yes, without hesitation","Vendors become unverified or unreliable, Prices become higher than other platforms, Limited variety of styles or vendors, Poor customer support, App is slow or hard to use",,,,,
07/04/2026 17:57:37,A few times a month,"Tiktok, Snapchat, Facebook/ Facebook Marketplace, Physical market / boutique",15 - 30 minutes,Never experienced this,2,"Hard to verify if a vendor is trustworthy, Slow or unresponsive vendors, Payment feels risky","Yes, sometimes",5,"Verified vendor badges, Buyer reviews and ratings, Filter by style, colour and size, Delivery tracking",5,Under 50 GHC,Definitely yes,"Yes, without hesitation","Vendors become unverified or unreliable, Prices become higher than other platforms, Poor customer support, App is slow or hard to use",Must always be modest ,,,Difficulty finding trusted online vendors,
07/04/2026 17:59:41,Rarely,"WhatsApp vendors, Physical market / boutique",Over an hour,"Yes, once",3,"Inaccurate photos / misleading listings, Hard to verify if a vendor is trustworthy","Yes, often",5,"Verified vendor badges, Buyer reviews and ratings, Filter by style, colour and size, Side-by-side price comparison, Delivery tracking",4,Under 50 GHC,Definitely yes,"Yes, without hesitation","Prices become higher than other platforms, App is slow or hard to use",,,,What you ordered vs what you got experiences,Female
07/04/2026 18:03:08,Only in person,"WhatsApp vendors, Physical market / boutique",Under 15 minutes,"Yes, more than once",5,"Inaccurate photos / misleading listings, No easy way to compare prices","Yes, often",5,Delivery tracking,4,50 GHC - 150,Probably not,"Probably, if it works well",Prices become higher than other platforms,,,,Difficulty finding trusted online vendors,
